"Fecha/Hora","Valor"
"2025-09-19T05:37:05","158.34"
"2025-09-19T05:37:20","158.36"
"2025-09-19T05:37:35","158.34"
"2025-09-19T05:37:50","158.33"
"2025-09-19T05:38:05","158.34"
"2025-09-19T05:38:20","158.33"
"2025-09-19T05:38:36","158.34"
"2025-09-19T05:38:51","158.34"
"2025-09-19T05:39:06","158.33"
"2025-09-19T05:39:21","158.33"
"2025-09-19T05:39:36","158.33"
"2025-09-19T05:39:51","158.31"
"2025-09-19T05:40:06","158.31"
"2025-09-19T05:40:22","158.31"
"2025-09-19T05:40:37","158.33"
"2025-09-19T05:40:52","158.31"
"2025-09-19T05:41:07","158.34"
"2025-09-19T05:41:22","158.34"
"2025-09-19T05:41:37","158.34"
"2025-09-19T05:41:52","158.36"
"2025-09-19T05:42:08","158.34"
"2025-09-19T05:42:23","158.34"
"2025-09-19T05:42:38","158.34"
"2025-09-19T05:42:53","158.33"
"2025-09-19T05:43:08","158.34"
"2025-09-19T05:43:23","158.36"
"2025-09-19T05:43:38","158.33"
"2025-09-19T05:43:54","158.34"
"2025-09-19T05:44:09","158.33"
"2025-09-19T05:44:24","158.34"
"2025-09-19T05:44:39","158.34"
"2025-09-19T05:44:54","158.33"
"2025-09-19T05:45:09","158.34"
"2025-09-19T05:45:24","158.34"
"2025-09-19T05:45:40","158.34"
"2025-09-19T05:45:55","158.34"
"2025-09-19T05:46:10","158.34"
"2025-09-19T05:46:25","158.34"
"2025-09-19T05:46:40","158.34"
"2025-09-19T05:46:55","158.34"
"2025-09-19T05:47:10","158.36"
"2025-09-19T05:47:26","158.33"
"2025-09-19T05:47:41","158.33"
"2025-09-19T05:47:56","158.34"
"2025-09-19T05:48:11","158.34"
"2025-09-19T05:48:26","158.34"
"2025-09-19T05:48:41","158.34"
"2025-09-19T05:48:56","158.33"
"2025-09-19T05:49:12","158.33"
"2025-09-19T05:49:26","158.33"
"2025-09-19T05:49:42","158.33"
"2025-09-19T05:49:57","158.31"
"2025-09-19T05:50:12","158.33"
"2025-09-19T05:50:27","158.33"
"2025-09-19T05:50:42","158.29"
"2025-09-19T05:50:57","158.33"
"2025-09-19T05:51:12","158.29"
"2025-09-19T05:51:28","158.31"
"2025-09-19T05:51:43","158.31"
"2025-09-19T05:51:58","158.31"
"2025-09-19T05:52:13","158.31"
"2025-09-19T05:52:28","158.31"
